Test Feature A,Test Feature B,R-Value,P-Value
G.Tip,PIM,[0.1681881],[0.00541961]
G.Tip,Shifts,[0.30430217],[3.08950665e-07]
G.Tip,TOI,[0.31489015],[1.12388395e-07]
G.Tip,TOI/GP,[0.26629654],[8.48312148e-06]
G.Tip,iBLK,[0.28011158],[2.69118125e-06]
G.Tip,OTG,[0.151983],[0.01208399]
G.Tip,GWG,[0.24180362],[5.58359571e-05]
G.Tip,G.Dflct,[-0.00159067],[0.97916693]
G.Tip,G.Slap,[0.07468209],[0.21954385]
G.Tip,G.Snap,[0.19451816],[0.00126291]
G.Tip,G.Tip,[1.],[nan]
G.Tip,G.Wrst,[0.22208035],[0.00022235]
G.Tip,Post,[0.20872398],[0.00053043]
G.Tip,Over,[0.14602193],[0.01594586]
G.Tip,Wide,[0.30838914],[2.10091767e-07]
G.Tip,S.Bkhd,[0.20682159],[0.00059779]
G.Tip,S.Dflct,[0.03342997],[0.58303425]
G.Tip,S.Slap,[0.24861398],[3.36996938e-05]
G.Tip,S.Snap,[0.21023253],[0.00048208]
G.Tip,S.Tip,[0.61604764],[7.77952566e-30]
G.Tip,S.Wrst,[0.31643011],[9.66953956e-08]
G.Wrst,Wt,[0.02281382],[0.70797836]
G.Wrst,GP,[0.5304212],[3.77168342e-21]
G.Wrst,G,[0.85224558],[4.54915106e-78]
G.Wrst,A,[0.6946138],[1.52431915e-40]
G.Wrst,A1,[0.68062296],[2.16672033e-38]
G.Wrst,A2,[0.644141],[2.64480553e-33]
G.Wrst,PTS,[0.76838852],[2.50505485e-54]
G.Wrst,PIM,[0.3109974],[1.63752786e-07]
G.Wrst,Shifts,[0.58049502],[6.44569778e-26]
G.Wrst,TOI,[0.61240673],[2.06623053e-29]
G.Wrst,TOI/GP,[0.57326521],[3.53605666e-25]
G.Wrst,iBLK,[0.52149229],[2.21719552e-20]
G.Wrst,OTG,[0.52086342],[2.5068709e-20]
G.Wrst,GWG,[0.7448567],[2.0434824e-49]
G.Wrst,G.Dflct,[0.15483673],[0.01054643]
G.Wrst,G.Slap,[0.41216038],[1.39294095e-12]
G.Wrst,G.Snap,[0.4704848],[2.14884198e-16]
G.Wrst,G.Tip,[0.22208035],[0.00022235]
G.Wrst,G.Wrst,[1.],[nan]
G.Wrst,Post,[0.55919552],[8.62787889e-24]
